listing_id,title,price_aud,product_type,layer,query_source,seller_location,url
287287702515,Asus ROG Flow Z13 GZ302 13 QHD TOUCH RYZEN AI MAX+ 395 128GB 1TB Cracked Screen,3666.14,ASUS ROG Flow Z13,L2,"""Ryzen AI Max+ 395""",United States,https://www.ebay.com.au/itm/287287702515
336508371314,GPD WIN 5 AMD Ryzen AI MAX+ 395 Gaming Handheld Console 32GB RAM + 1TB SSD,3700.68,GPD WIN 5,L2,"""Ryzen AI Max+ 395""",China,https://www.ebay.com.au/itm/336508371314
127746363347,"Asus ROG Flow Z13 2.5K 13.3 180Hz, AMD RYZEN AI MAX+ 395, 64GB RAM 1TB SSD 8060S",3711.89,ASUS ROG Flow Z13,L2,"""Ryzen AI Max+ 395""",United States,https://www.ebay.com.au/itm/127746363347
277899579458,Asus ROG Flow Z13 GZ302 180Hz QHD TOUCH RYZEN AI MAX+ 395 128GB 1TB -FRAME SPLIT,3711.97,ASUS ROG Flow Z13,L2,"""Ryzen AI Max+ 395""",United States,https://www.ebay.com.au/itm/277899579458
236036234790,"ASUS ROG Flow Z13 GZ302EA-RU007W 13.4"" AMD AI Max+ 395 32GB/1TB Laptop",3735.59,ASUS ROG Flow Z13,L2,"""AI Max+ 395""",South Korea,https://www.ebay.com.au/itm/236036234790
287275829059,Asus ROG Flow Z13 GZ302 180Hz QHD TOUCH RYZEN AI MAX+ 395 128GB 1TB - ODOR ISSUE,3742.52,ASUS ROG Flow Z13,L2,"""Ryzen AI Max+ 395""",United States,https://www.ebay.com.au/itm/287275829059
376613883941,GPD WIN 5 AMD Ryzen AI MAX+ 395 64GB+2TB Handheld Gaming PC Removable battery,3742.54,GPD WIN 5,L2,"""Ryzen AI Max+ 395""",China,https://www.ebay.com.au/itm/376613883941
376652745606,GPD WIN 5 Handheld gaming PC AMD Ryzen AI MAX+ 395 64GB+2TB Removable Battery,3742.54,GPD WIN 5,L2,"""Ryzen AI Max+ 395""",China,https://www.ebay.com.au/itm/376652745606
376769433029,GPD WIN 5 Handheld gaming PC AMD Ryzen AI MAX+ 395 64GB+2TB Removable Battery,3742.54,GPD WIN 5,L2,"""Ryzen AI Max+ 395""",China,https://www.ebay.com.au/itm/376769433029
205775828810,GPD WIN 5 AMD Ryzen AI MAX+ 395 64GB+2TB Handheld Gaming Console,3742.54,GPD WIN 5,L3,"""AI Max+ 395"" handheld",China,https://www.ebay.com.au/itm/205775828810
376637867212,GPD WIN 5 AMD Ryzen AI MAX+ 395 64GB+2TB Handheld Game Console Mini PC New!!,3776.47,GPD WIN 5,L2,"""Ryzen AI Max+ 395""",China,https://www.ebay.com.au/itm/376637867212
389667123058,"ONEXFLY APEX ：World's Most Powerful 8"" Gaming Handheld Ryzen AI Max+ 395 48G+1TB",3776.47,OneXPlayer Apex,L2,"""Ryzen AI Max+ 395""",United Kingdom,https://www.ebay.com.au/itm/389667123058
205931902037,"OneXPlayer Super X 14"" Laptop + Tablet 2-in-1 AI MAX+ 395 Windows PC +Keyboard",3776.47,OneXPlayer Super X,L3,"""AI Max+ 395"" laptop",China,https://www.ebay.com.au/itm/205931902037
205798143517,GPD WIN 5 AMD Ryzen AI MAX+ 395 64GB+2TB Gaming PC Handheld Game Console,3776.47,GPD WIN 5,L3,"""AI Max+ 395"" handheld",China,https://www.ebay.com.au/itm/205798143517
336521126341,"OneXPlayer Apex AI MAX+ 395 8"" Handheld Gaming PC 48GB - 96GB RAM Mini PC",3778.14,OneXPlayer Apex,L2,"""AI Max+ 395""",China,https://www.ebay.com.au/itm/336521126341
287287648026,Asus ROG Flow Z13 GZ302 13.4 180Hz QHD TOUCH 3.0GHz RYZEN AI MAX+ 395 128GB 1TB,3780.72,ASUS ROG Flow Z13,L2,"""Ryzen AI Max+ 395""",United States,https://www.ebay.com.au/itm/287287648026
297311209180,"ASUS ROG Touchscreen 13.4"" 2-in-1 Laptop AMD Ryzen AI MAX+ 395 32GB RAM 1TB SSD",3799.15,Other,L2,"""Ryzen AI Max+ 395""",United States,https://www.ebay.com.au/itm/297311209180
336508371613,GPD WIN 5 AMD Ryzen AI MAX+ 395 Gaming Handheld Console 32GB RAM + 2TB SSD,3814.03,GPD WIN 5,L2,"""Ryzen AI Max+ 395""",China,https://www.ebay.com.au/itm/336508371613
236729525186,"NIMO Mini PC Desktop, AMD Ryzen AI Max+ 395 128GB LPDDR5 8000MHz RAM 1TB SSD",3818.9,NIMO Mini PC,L2,"""Ryzen AI Max+ 395""",United States,https://www.ebay.com.au/itm/236729525186
397865586806,Asus ROG Flow Z13 GZ302 13.4 180Hz TOUCH 3.0 GHz RYZEN AI MAX+ 395 128GB 1TB SSD,3818.9,ASUS ROG Flow Z13,L2,"""Ryzen AI Max+ 395""",United States,https://www.ebay.com.au/itm/397865586806
297929262825,Asus ROG Flow Z13 GZ302 13 180Hz QHD+ TOUCH 3.0GHz RYZEN AI MAX+ 395 128GB 1TB,3818.9,ASUS ROG Flow Z13,L2,"""Ryzen AI Max+ 395""",United States,https://www.ebay.com.au/itm/297929262825
236079966878,2025 ASUS ROG FLOW Z13 AMD AI Max+ 395 32G 1TB 13.4 2.5K 500nits Dolby Vision,3874.46,ASUS ROG Flow Z13,L2,"""AI Max+ 395""",South Korea,https://www.ebay.com.au/itm/236079966878
376786121749,"OneXPlayer Super X 14"" AMD AI MAX+ 395 Laptop + Tablet 2 in 1 Max. 128GB RAM",3886.96,OneXPlayer Super X,L2,"""AI Max+ 395""",China,https://www.ebay.com.au/itm/376786121749
205931563072,OneXPlayer Super X 14 in AMD AI MAX+ 395 Laptop + Tablet 2 in 1 Max. 128GB RAM,3886.96,OneXPlayer Super X,L3,"""AI Max+ 395"" laptop",China,https://www.ebay.com.au/itm/205931563072
376788756827,"OneXPlayer Super X 14"" AMD AI MAX+ 395 Laptop + Tablet 2-in-1 Max. 128GB",3965.39,OneXPlayer Super X,L2,"""AI Max+ 395""",China,https://www.ebay.com.au/itm/376788756827
137191361710,"HP ZBook Ultra G1A 14"" Laptop: AMD Ryzen AI Max+ PRO 395 64GB RAM 1TB SSD OLED",3965.39,HP ZBook Ultra G1a,L2,Ryzen AI Max PRO 395,United Kingdom,https://www.ebay.com.au/itm/137191361710
336522600586,"OneXPlayer Apex AI MAX+ 395 8"" Handheld Gaming PC 48GB RAM+1TB SSD Mini PC",3967.06,OneXPlayer Apex,L2,"""AI Max+ 395""",China,https://www.ebay.com.au/itm/336522600586
389872756162,ROG Flow Z13 Max395+ 32GB Gaming Laptop Official,4030.63,ASUS ROG Flow Z13,L1,ROG Flow Z13 395,South Korea,https://www.ebay.com.au/itm/389872756162
406226265988,"2025 ASUS ROG FLOW Z13 AMD AI Max+ 395 32G 1TB 13.4"" 2.5K ROG Nebula",4049.69,ASUS ROG Flow Z13,L2,"""AI Max+ 395""",Taiwan,https://www.ebay.com.au/itm/406226265988
336510138245,GPD WIN 5 AMD Ryzen AI MAX+ 395 Gaming Handheld Console 64GB RAM + 512GB SSD,4078.52,GPD WIN 5,L2,"""Ryzen AI Max+ 395""",China,https://www.ebay.com.au/itm/336510138245
376863577264,GPD WIN 5 Handheld gaming PC AMD Ryzen AI MAX+ 395 64GB+2TB+Carry Bag+Dock,4164.7,GPD WIN 5,L2,"""Ryzen AI Max+ 395""",China,https://www.ebay.com.au/itm/376863577264
227134241451,"ASUS ROG Flow Z13 GZ302EA-RU110W 13.4"" AMD AI Max+ 395 64GB/1TB Win11 Laptop",4186.92,ASUS ROG Flow Z13,L3,"""AI Max+ 395"" laptop",South Korea,https://www.ebay.com.au/itm/227134241451
336510138465,GPD WIN 5 AMD Ryzen AI MAX+ 395 Gaming Handheld Console 64GB RAM + 1TB SSD,4210.76,GPD WIN 5,L2,"""Ryzen AI Max+ 395""",China,https://www.ebay.com.au/itm/336510138465
236036985291,2025 ASUS ROG FLOW Z13 AMD AI Max+ 395 64G 1TB 13.4 2.5K 500nits Dolby Vision,4221.64,ASUS ROG Flow Z13,L2,"""AI Max+ 395""",South Korea,https://www.ebay.com.au/itm/236036985291
336508371895,GPD WIN 5 AMD Ryzen AI MAX+ 395 Gaming Handheld Console 32GB RAM + 4TB SSD,4229.65,GPD WIN 5,L2,"""Ryzen AI Max+ 395""",China,https://www.ebay.com.au/itm/336508371895
267208807260,"ASUS ROG Flow Z13 GZ302EA-RU110W 13.4"" AMD AI Max+ 395 64GB/1TB Win11 Laptop",4235.52,ASUS ROG Flow Z13,L2,"""AI Max+ 395""",South Korea,https://www.ebay.com.au/itm/267208807260
205810181637,GPD WIN 5 AMD Ryzen AI MAX+ 395  64GB 2TB Replace battery + 1TB MINI SSD,4343.23,GPD WIN 5,L1,"GPD WIN 5 ""AI Max+ 395""",China,https://www.ebay.com.au/itm/205810181637
336510139108,GPD WIN 5 AMD Ryzen AI MAX+ 395 Gaming Handheld Console 64GB RAM + 2TB SSD,4344.89,GPD WIN 5,L2,"""Ryzen AI Max+ 395""",China,https://www.ebay.com.au/itm/336510139108
377077746095,"OneXPlayer Super X 14"" 2in1 Tablet Laptop AMD AI MAX+ 395 64GB+1TB Water Cooling",4386.89,OneXPlayer Super X,L2,"""AI Max+ 395""",China,https://www.ebay.com.au/itm/377077746095
376887733337,"OneXPlayer Super X 14"" 2in1 Tablet Laptop AMD AI MAX+ 395 Water Cooling Version",4386.89,OneXPlayer Super X,L2,"""AI Max+ 395""",China,https://www.ebay.com.au/itm/376887733337
327063646546,GPD WIN 5 AMD Ryzen AI MAX+ 395 64GB+2TB Gaming Handheld Console New,4391.98,GPD WIN 5,L3,"""AI Max+ 395"" gaming",China,https://www.ebay.com.au/itm/327063646546
127764885798,GPD WIN 5 AMD Ryzen AI MAX+ 395 64GB+2TB Gaming Handheld Console New,4459.99,GPD WIN 5,L2,"""Ryzen AI Max+ 395""",China,https://www.ebay.com.au/itm/127764885798
389648930131,"ONEXFLY APEX ：World's Most Powerful 8"" Gaming Handheld Ryzen AI Max+ 395 64G+2TB",4532.15,OneXPlayer Apex,L2,"""Ryzen AI Max+ 395""",United Kingdom,https://www.ebay.com.au/itm/389648930131
377115106500,"OneXPlayer Super X 14"" 2-in-1 Tablet+Laptop AI MAX+ 395 64GB+1TB Water Cooled",4532.15,OneXPlayer Super X,L2,"""AI Max+ 395""",China,https://www.ebay.com.au/itm/377115106500
376887747739,"OneXPlayer Super X 14"" 2in1 Tablet Laptop AMD AI MAX+ 395 Water Cooled Version",4532.15,OneXPlayer Super X,L2,"""AI Max+ 395""",China,https://www.ebay.com.au/itm/376887747739
317647580481,GPD WIN 5 AMD Ryzen AI MAX+ 395 32GB+2TB Gaming Handheld Console new-,4581.17,GPD WIN 5,L2,"""Ryzen AI Max+ 395""",China,https://www.ebay.com.au/itm/317647580481
317647570070,WGPD IN 5 AMD Ryzen AI MAX+ 395 32GB+2TB Gaming Handheld Console new,4581.17,Other,L2,"""Ryzen AI Max+ 395""",China,https://www.ebay.com.au/itm/317647570070
336512262830,GPD WIN 5 AMD Ryzen AI MAX+ 395 Gaming Handheld Console 64GB RAM + 4TB SSD,4683.06,GPD WIN 5,L2,"""Ryzen AI Max+ 395""",China,https://www.ebay.com.au/itm/336512262830
336522600722,"OneXPlayer Apex AI MAX+ 395 8"" Handheld Gaming PC 64GB RAM+2TB SSD Mini PC",4684.94,OneXPlayer Apex,L2,"""AI Max+ 395""",China,https://www.ebay.com.au/itm/336522600722
389722139473,OneXPlayer Super X Gaming Tablet-Laptop Hybrid 64 GB RAM 1TB Ai Max 395  NEW,4721.07,OneXPlayer Super X,L2,"""AI Max+ 395""",United Kingdom,https://www.ebay.com.au/itm/389722139473
157413650166,"ASUS ROG Flow Z13 GZ302EA-RU007W 13.4"" AMD AI Max+ 395 32GB/1TB Win11 Laptop",4826.23,ASUS ROG Flow Z13,L2,"""AI Max+ 395""",South Korea,https://www.ebay.com.au/itm/157413650166
277904216317,"MINIX Mini PC ER939-AI Ryzen AI Max+ 395, 128G DDR5/2TB Wifi 7 BT5.4 HDMI 2.1,",4835.96,MINIX ER939-AI,L2,"""Ryzen AI Max+ 395""",New Zealand,https://www.ebay.com.au/itm/277904216317
357587193859,"ASUS ROG Flow Z13 GZ302EA-RU007W / Win11 13.4"" AMD AI Max+ 395 32GB/1TB",4937.74,ASUS ROG Flow Z13,L1,"ROG Flow Z13 ""AI Max+ 395""",South Korea,https://www.ebay.com.au/itm/357587193859
188289267024,"MINIX Mini PC ER939-AI Ryzen AI Max+ 395, 128G DDR5/2TB Wifi 7 BT5.4 HDMI 2.1,",5060.08,MINIX ER939-AI,L2,"""Ryzen AI Max+ 395""",New Zealand,https://www.ebay.com.au/itm/188289267024
336522600914,"OneXPlayer Apex AI MAX+ 395 8"" Handheld Gaming PC 96GB RAM+2TB SSD Mini PC",5100.56,OneXPlayer Apex,L2,"""AI Max+ 395""",China,https://www.ebay.com.au/itm/336522600914
377104874532,ONEXPLAYER ONEXStation i1 MINI PC AI Max+395 128GB+1TB MINI Workstation,5275.66,OneXPlayer ONEXStation i1,L2,"""AI Max+ 395""",China,https://www.ebay.com.au/itm/377104874532
357635657415,"ASUS ROG Flow Z13 GZ302EA-RU007W / Win11 13.4"" AMD AI Max+ 395 32GB/1TB",5358.55,ASUS ROG Flow Z13,L2,"""AI Max+ 395""",South Korea,https://www.ebay.com.au/itm/357635657415
377104999895,ONEXPLAYER ONEXStation i1 MINI Workstation AI Max+395 128GB RAM + 1TB SSD,5476.74,OneXPlayer ONEXStation i1,L2,"""AI Max+ 395""",China,https://www.ebay.com.au/itm/377104999895
206201878706,ROG Flow Z13 High-End Windows Tablet with Ryzen 395 CPU Official,5547.95,ASUS ROG Flow Z13,L1,ROG Flow Z13 395,South Korea,https://www.ebay.com.au/itm/206201878706
389870795558,ROG Flow Z13 High-End Windows Tablet with Ryzen 395 CPU Official,5547.95,ASUS ROG Flow Z13,L1,ROG Flow Z13 395,South Korea,https://www.ebay.com.au/itm/389870795558
188263046356,ROG Flow Z13 High-End Windows Tablet with Ryzen 395 CPU Official,5547.95,ASUS ROG Flow Z13,L1,ROG Flow Z13 395,South Korea,https://www.ebay.com.au/itm/188263046356
